category,sub_category,term,source_type,priority,sample_hits,example_sentence,note
硬信息处理,客户信息与画像,客户了解,样本原词,1,1,15号/广发证券/2025.0：以专业知识服务客户，在客户了解的基础上进行分类服务，推荐公司服务产品，销售金融产品,
硬信息处理,客户信息与画像,客户画像,理论扩展,2,0,,
硬信息处理,客户信息与画像,客户分类,理论扩展,2,0,,
硬信息处理,客户信息与画像,分类服务,样本原词,1,1,15号/广发证券/2025.0：以专业知识服务客户，在客户了解的基础上进行分类服务，推荐公司服务产品，销售金融产品,
硬信息处理,客户信息与画像,客户风险偏好,理论扩展,2,0,,
硬信息处理,客户信息与画像,风险偏好,样本原词,1,1,17号/长城证券/2026：深入了解客户的投资目标、风险偏好和财务状况，制定个性化的资产配置方案，匹配适合的证券或理财产品,
硬信息处理,客户信息与画像,财务状况,样本原词,1,1,17号/长城证券/2026：深入了解客户的投资目标、风险偏好和财务状况，制定个性化的资产配置方案，匹配适合的证券或理财产品,
硬信息处理,客户信息与画像,投资目标,样本原词,1,1,17号/长城证券/2026：深入了解客户的投资目标、风险偏好和财务状况，制定个性化的资产配置方案，匹配适合的证券或理财产品,
硬信息处理,客户信息与画像,资金需求,样本原词,1,1,13号/浙江同花顺云软件有限公司/2024.0：分析客户的资金需求，企业微信维护跟单,
硬信息处理,客户信息与画像,理财需求,样本原词,1,1,12号/大唐财富投资管理有限公司/2022：分析客户的理财需求，为客户制订资产配置方案并向客户提供投资建议,
硬信息处理,客户信息与画像,需求分析,样本原词,1,1,14号/湘财证券股份有限公司/2025.0：具备良好的沟通协调能力，具备扎实的金融知识及市场洞察能力，具备客户需求分析及挖掘能力,
硬信息处理,产品与工具筛选,产品投资,样本原词,1,1,2号/中国国际金融股份有限公司/2018.0：中金公司南京营业部持续招聘高净值客户产品投资，股票投资以及资产配置服务,
硬信息处理,产品与工具筛选,股票投资,样本原词,1,1,2号/中国国际金融股份有限公司/2018.0：中金公司南京营业部持续招聘高净值客户产品投资，股票投资以及资产配置服务,
硬信息处理,产品与工具筛选,金融产品,样本原词,1,4,4号/新湖财富投资管理有限公司/2020.0：对金融产品、投资理财业务有一定的基础，具有很强的学习能力,
硬信息处理,产品与工具筛选,证券产品,理论扩展,2,0,,
硬信息处理,产品与工具筛选,理财产品,样本原词,1,1,17号/长城证券/2026：深入了解客户的投资目标、风险偏好和财务状况，制定个性化的资产配置方案，匹配适合的证券或理财产品,
硬信息处理,产品与工具筛选,信托产品,样本原词,1,1,4号/新湖财富投资管理有限公司/2020.0：向目标客户推广信托产品，并根据信托计划完成销售任务,
硬信息处理,产品与工具筛选,资管产品,理论扩展,2,0,,
硬信息处理,产品与工具筛选,私募产品,理论扩展,2,0,,
硬信息处理,产品与工具筛选,基金,样本原词,1,6,3号/中信建投证券股份有限公司/2020.0：资格技能：具备证券投资咨询业务资格，通过基金从业资格考试优先,
硬信息处理,产品与工具筛选,股票,样本原词,1,36,2号/中国国际金融股份有限公司/2018.0：中金公司南京营业部持续招聘高净值客户产品投资，股票投资以及资产配置服务,
硬信息处理,产品与工具筛选,期权,样本原词,1,1,5号/光大证券股份有限公司/2020.0：围绕A股及期权进行深入研究，提供专业研究成果，生成通俗化的内容和课件或出镜，解答投资者疑问,
硬信息处理,产品与工具筛选,产品筛选,理论扩展,2,0,,
硬信息处理,产品与工具筛选,产品评价,理论扩展,2,0,,
硬信息处理,产品与工具筛选,产品池,理论扩展,2,0,,
硬信息处理,组合与配置,资产配置,样本原词,1,12,2号/中国国际金融股份有限公司/2018.0：中金公司南京营业部持续招聘高净值客户产品投资，股票投资以及资产配置服务,
硬信息处理,组合与配置,大类资产配置,样本原词,1,2,5号/光大证券股份有限公司/2020.0：利用公司平台资源优势，开拓客户资源并为客户提供深度咨询服务和大类资产配置建议,
硬信息处理,组合与配置,资产配置方案,样本原词,1,3,12号/大唐财富投资管理有限公司/2022：分析客户的理财需求，为客户制订资产配置方案并向客户提供投资建议,
硬信息处理,组合与配置,行业配置,样本原词,1,1,5号/光大证券股份有限公司/2020.0：负责资产配置及投资策略分析，为客户经理提出行业配置以及投资策略建议协助客户实现资产保值增值,
硬信息处理,组合与配置,投资组合,样本原词,1,2,7号/广发证券股份有限公司/2021.0：结合资产配置投研体系，根据客户需求构建策略组合模型，制定相应投资投资组合,
硬信息处理,组合与配置,策略组合,样本原词,1,1,7号/广发证券股份有限公司/2021.0：结合资产配置投研体系，根据客户需求构建策略组合模型，制定相应投资投资组合,
